positionTitle,race,gender,total,totalp,alm,alm80,parity,underutilized,goal
1,1,m,529,26,39,13,10,19,0
1,1,f,1428,71,53,17,15,18,8
1,2,m,798,39,76,25,14,12,45
1,2,f,783,39,14,4,19,5,38
1,3,m,1789,89,60,20,1,15,48
1,3,f,1920,96,79,26,4,15,36
1,4,m,682,34,16,5,17,6,48
1,4,f,335,16,62,20,5,9,28
1,5,m,82,4,52,17,8,12,22
1,5,f,1264,63,24,8,8,9,27
1,6,m,1522,76,56,18,3,8,25
1,6,f,1406,70,61,20,1,18,50
1,7,m,1945,97,72,24,0,5,48
1,7,f,1700,85,44,14,13,4,14
2,1,m,348,17,23,7,13,2,27
2,1,f,1894,94,60,20,1,0,46
2,2,m,575,28,59,19,13,4,26
2,2,f,831,41,34,11,14,2,13
2,3,m,110,5,67,22,15,18,41
2,3,f,1325,66,76,25,11,11,7
2,4,m,1843,92,34,11,18,7,31
2,4,f,702,35,45,15,17,6,27
2,5,m,605,30,16,5,5,8,2
2,5,f,143,7,52,17,0,15,3
2,6,m,778,38,67,22,19,6,28
2,6,f,637,31,2,0,14,14,14
2,7,m,592,29,69,23,11,3,13
2,7,f,43,2,77,25,18,13,37
3,1,m,182,9,69,23,12,11,37
3,1,f,43,2,79,26,17,8,47
3,2,m,344,17,33,11,1,5,8
3,2,f,1622,81,14,4,9,6,33
3,3,m,245,12,27,9,18,12,36
3,3,f,1290,64,16,5,10,7,26
3,4,m,1081,54,74,24,14,17,17
3,4,f,1480,74,57,19,11,1,14
3,5,m,840,42,16,5,15,15,20
3,5,f,1016,50,68,22,0,13,16
3,6,m,931,46,47,15,13,19,17
3,6,f,1152,57,75,25,11,1,32
3,7,m,604,30,46,15,9,14,3
3,7,f,1045,52,6,2,19,11,5
4,1,m,839,41,77,25,14,4,26
4,1,f,1733,86,45,15,17,11,44
4,2,m,1220,61,55,18,14,6,27
4,2,f,777,38,11,3,2,9,12
4,3,m,1373,68,66,22,12,1,26
4,3,f,1691,84,67,22,11,1,30
4,4,m,400,20,21,7,17,2,38
4,4,f,1343,67,34,11,16,6,36
4,5,m,166,8,21,7,11,20,13
4,5,f,928,46,60,20,8,11,9
4,6,m,1079,53,4,1,15,15,19
4,6,f,554,27,19,6,12,11,47
4,7,m,229,11,23,7,7,12,3
4,7,f,145,7,58,19,10,13,10
5,1,m,700,35,36,12,16,9,20
5,1,f,1738,86,48,16,7,13,45
5,2,m,1557,77,36,12,11,6,12
5,2,f,1176,58,66,22,2,11,44
5,3,m,1402,70,51,17,5,9,15
5,3,f,1909,95,25,8,18,17,21
5,4,m,1063,53,53,17,1,14,5
5,4,f,183,9,62,20,1,19,28
5,5,m,1032,51,26,8,19,3,41
5,5,f,1989,99,7,2,11,20,46
5,6,m,50,2,61,20,0,11,17
5,6,f,1147,57,26,8,9,15,18
5,7,m,100,5,13,4,11,20,18
5,7,f,498,24,79,26,11,12,35
6,1,m,79,3,71,23,4,5,46
6,1,f,1383,69,20,6,11,16,22
6,2,m,886,44,28,9,9,17,24
6,2,f,649,32,26,8,14,7,26
6,3,m,110,5,13,4,11,20,33
6,3,f,1577,78,23,7,12,10,43
6,4,m,1394,69,30,10,20,8,15
6,4,f,1517,75,77,25,1,7,39
6,5,m,685,34,13,4,4,16,11
6,5,f,1126,56,48,16,7,6,47
6,6,m,1629,81,66,22,13,19,42
6,6,f,1116,55,73,24,3,19,45
6,7,m,1199,59,16,5,3,11,4
6,7,f,1731,86,56,18,2,17,12
7,1,m,751,37,3,1,15,16,6
7,1,f,742,37,35,11,12,11,8
7,2,m,465,23,42,14,3,19,22
7,2,f,306,15,64,21,18,7,1
7,3,m,277,13,41,13,10,16,3
7,3,f,876,43,39,13,4,19,4
7,4,m,261,13,58,19,9,4,16
7,4,f,1285,64,30,10,4,5,46
7,5,m,977,48,43,14,11,17,17
7,5,f,1021,51,76,25,16,12,8
7,6,m,206,10,50,16,6,13,5
7,6,f,593,29,59,19,6,2,43
7,7,m,969,48,15,5,19,18,37
7,7,f,28,1,14,4,2,13,27
8,1,m,1228,61,38,12,11,14,2
8,1,f,308,15,12,4,19,16,34
8,2,m,505,25,27,9,3,2,16
8,2,f,1969,98,72,24,20,17,18
8,3,m,1585,79,70,23,18,0,11
8,3,f,1809,90,15,5,14,15,4
8,4,m,1845,92,71,23,8,15,28
8,4,f,84,4,36,12,6,17,43
8,5,m,818,40,31,10,1,19,25
8,5,f,24,1,70,23,2,19,43
8,6,m,419,20,12,4,18,18,43
8,6,f,1352,67,47,15,3,9,46
8,7,m,1391,69,60,20,7,16,36
8,7,f,239,11,48,16,4,3,29
9,1,m,1338,66,15,5,15,16,30
9,1,f,2,0,1,0,16,17,35
9,2,m,515,25,33,11,10,5,44
9,2,f,1267,63,39,13,13,17,45
9,3,m,663,33,44,14,5,14,28
9,3,f,467,23,12,4,15,17,10
9,4,m,1837,91,77,25,10,19,40
9,4,f,1096,54,46,15,12,1,1
9,5,m,321,16,27,9,15,11,35
9,5,f,1410,70,42,14,15,6,37
9,6,m,1465,73,1,0,2,13,6
9,6,f,764,38,73,24,17,5,24
9,7,m,1039,51,54,18,7,11,13
9,7,f,801,40,3,1,14,16,25
10,1,m,535,26,52,17,14,14,44
10,1,f,878,43,43,14,16,9,5
10,2,m,1117,55,74,24,17,5,6
10,2,f,1722,86,79,26,0,15,22
10,3,m,52,2,36,12,15,2,25
10,3,f,721,36,20,6,7,16,26
10,4,m,1835,91,47,15,14,1,29
10,4,f,757,37,34,11,18,8,32
10,5,m,802,40,56,18,8,19,47
10,5,f,594,29,8,2,2,20,36
10,6,m,379,18,17,5,15,18,40
10,6,f,1004,50,28,9,2,15,48
10,7,m,174,8,77,25,10,3,34
10,7,f,274,13,46,15,12,14,42
